Started training.
is pre training: True | ep: 750 | step: 37500 | avg reward: -0.9 | avg ep length: 50.0
is pre training: True | ep: 760 | step: 38000 | avg reward: -1.4 | avg ep length: 50.0
is pre training: True | ep: 770 | step: 38500 | avg reward: -0.9 | avg ep length: 50.0
is pre training: True | ep: 780 | step: 39000 | avg reward: -1.7 | avg ep length: 50.0
is pre training: True | ep: 790 | step: 39500 | avg reward: -0.5 | avg ep length: 50.0
is pre training: True | ep: 800 | step: 40000 | avg reward: -0.8 | avg ep length: 50.0
is pre training: True | ep: 810 | step: 40500 | avg reward: -0.8 | avg ep length: 50.0
is pre training: True | ep: 820 | step: 41000 | avg reward: -1.0 | avg ep length: 50.0
is pre training: True | ep: 830 | step: 41500 | avg reward: -0.4 | avg ep length: 50.0
is pre training: True | ep: 840 | step: 42000 | avg reward: -1.9 | avg ep length: 50.0
is pre training: True | ep: 850 | step: 42500 | avg reward: -0.1 | avg ep length: 50.0
is pre training: True | ep: 860 | step: 43000 | avg reward: 0.0 | avg ep length: 50.0
is pre training: True | ep: 870 | step: 43500 | avg reward: 0.0 | avg ep length: 50.0
is pre training: True | ep: 880 | step: 44000 | avg reward: -1.3 | avg ep length: 50.0
is pre training: True | ep: 890 | step: 44500 | avg reward: -0.7 | avg ep length: 50.0
is pre training: True | ep: 900 | step: 45000 | avg reward: -1.6 | avg ep length: 50.0
is pre training: True | ep: 910 | step: 45500 | avg reward: -1.5 | avg ep length: 50.0
is pre training: True | ep: 920 | step: 46000 | avg reward: -1.2 | avg ep length: 50.0
is pre training: True | ep: 930 | step: 46500 | avg reward: -1.1 | avg ep length: 50.0
is pre training: True | ep: 940 | step: 47000 | avg reward: -0.7 | avg ep length: 50.0
is pre training: True | ep: 950 | step: 47500 | avg reward: -0.9 | avg ep length: 50.0
is pre training: True | ep: 960 | step: 48000 | avg reward: -2.4 | avg ep length: 50.0
is pre training: True | ep: 970 | step: 48500 | avg reward: -2.2 | avg ep length: 50.0
is pre training: True | ep: 980 | step: 49000 | avg reward: 0.2 | avg ep length: 50.0
is pre training: True | ep: 990 | step: 49500 | avg reward: -0.9 | avg ep length: 50.0
is pre training: True | ep: 1000 | step: 50000 | avg reward: -1.6 | avg ep length: 50.0
Saved current model!
is pre training: False | ep: 1010 | step: 50500 | avg reward: -0.5 | avg ep length: 50.0
is pre training: False | ep: 1020 | step: 51000 | avg reward: -0.4 | avg ep length: 50.0
is pre training: False | ep: 1030 | step: 51500 | avg reward: -0.2 | avg ep length: 50.0
is pre training: False | ep: 1040 | step: 52000 | avg reward: -1.8 | avg ep length: 50.0
is pre training: False | ep: 1050 | step: 52500 | avg reward: -1.4 | avg ep length: 50.0
is pre training: False | ep: 1060 | step: 53000 | avg reward: -1.6 | avg ep length: 50.0
is pre training: False | ep: 1070 | step: 53500 | avg reward: -1.3 | avg ep length: 50.0
is pre training: False | ep: 1080 | step: 54000 | avg reward: 1.5 | avg ep length: 50.0
is pre training: False | ep: 1090 | step: 54500 | avg reward: -1.6 | avg ep length: 50.0
is pre training: False | ep: 1100 | step: 55000 | avg reward: -0.2 | avg ep length: 50.0
is pre training: False | ep: 1110 | step: 55500 | avg reward: -0.6 | avg ep length: 50.0
is pre training: False | ep: 1120 | step: 56000 | avg reward: 0.3 | avg ep length: 50.0
is pre training: False | ep: 1130 | step: 56500 | avg reward: -0.4 | avg ep length: 50.0
is pre training: False | ep: 1140 | step: 57000 | avg reward: -0.1 | avg ep length: 50.0
is pre training: False | ep: 1150 | step: 57500 | avg reward: 0.0 | avg ep length: 50.0
is pre training: False | ep: 1160 | step: 58000 | avg reward: -0.9 | avg ep length: 50.0
is pre training: False | ep: 1170 | step: 58500 | avg reward: 1.6 | avg ep length: 50.0
is pre training: False | ep: 1180 | step: 59000 | avg reward: -0.8 | avg ep length: 50.0
is pre training: False | ep: 1190 | step: 59500 | avg reward: -0.6 | avg ep length: 50.0
is pre training: False | ep: 1200 | step: 60000 | avg reward: 0.5 | avg ep length: 50.0
is pre training: False | ep: 1210 | step: 60500 | avg reward: 1.4 | avg ep length: 50.0
is pre training: False | ep: 1220 | step: 61000 | avg reward: 2.0 | avg ep length: 50.0
is pre training: False | ep: 1230 | step: 61500 | avg reward: 0.0 | avg ep length: 50.0
is pre training: False | ep: 1240 | step: 62000 | avg reward: 0.2 | avg ep length: 50.0
is pre training: False | ep: 1250 | step: 62500 | avg reward: 0.4 | avg ep length: 50.0
is pre training: False | ep: 1260 | step: 63000 | avg reward: -0.3 | avg ep length: 50.0
is pre training: False | ep: 1270 | step: 63500 | avg reward: 1.3 | avg ep length: 50.0
is pre training: False | ep: 1280 | step: 64000 | avg reward: 0.2 | avg ep length: 50.0
is pre training: False | ep: 1290 | step: 64500 | avg reward: -0.1 | avg ep length: 50.0
is pre training: False | ep: 1300 | step: 65000 | avg reward: 1.0 | avg ep length: 50.0
is pre training: False | ep: 1310 | step: 65500 | avg reward: 0.9 | avg ep length: 50.0
is pre training: False | ep: 1320 | step: 66000 | avg reward: -0.1 | avg ep length: 50.0
is pre training: False | ep: 1330 | step: 66500 | avg reward: 1.2 | avg ep length: 50.0
is pre training: False | ep: 1340 | step: 67000 | avg reward: 1.3 | avg ep length: 50.0
is pre training: False | ep: 1350 | step: 67500 | avg reward: 0.2 | avg ep length: 50.0
is pre training: False | ep: 1360 | step: 68000 | avg reward: 0.7 | avg ep length: 50.0
is pre training: False | ep: 1370 | step: 68500 | avg reward: 0.0 | avg ep length: 50.0
is pre training: False | ep: 1380 | step: 69000 | avg reward: 0.2 | avg ep length: 50.0
is pre training: False | ep: 1390 | step: 69500 | avg reward: 1.2 | avg ep length: 50.0
is pre training: False | ep: 1400 | step: 70000 | avg reward: 1.6 | avg ep length: 50.0
is pre training: False | ep: 1410 | step: 70500 | avg reward: 0.7 | avg ep length: 50.0
is pre training: False | ep: 1420 | step: 71000 | avg reward: 1.5 | avg ep length: 50.0
is pre training: False | ep: 1430 | step: 71500 | avg reward: 1.9 | avg ep length: 50.0
is pre training: False | ep: 1440 | step: 72000 | avg reward: 1.1 | avg ep length: 50.0
is pre training: False | ep: 1450 | step: 72500 | avg reward: 2.2 | avg ep length: 50.0
is pre training: False | ep: 1460 | step: 73000 | avg reward: 1.2 | avg ep length: 50.0
is pre training: False | ep: 1470 | step: 73500 | avg reward: 1.8 | avg ep length: 50.0
is pre training: False | ep: 1480 | step: 74000 | avg reward: 2.1 | avg ep length: 50.0
is pre training: False | ep: 1490 | step: 74500 | avg reward: 1.1 | avg ep length: 50.0
is pre training: False | ep: 1500 | step: 75000 | avg reward: 1.7 | avg ep length: 50.0
is pre training: False | ep: 1510 | step: 75500 | avg reward: 1.5 | avg ep length: 50.0
is pre training: False | ep: 1520 | step: 76000 | avg reward: 3.7 | avg ep length: 50.0
is pre training: False | ep: 1530 | step: 76500 | avg reward: 2.2 | avg ep length: 50.0
is pre training: False | ep: 1540 | step: 77000 | avg reward: 2.7 | avg ep length: 50.0
is pre training: False | ep: 1550 | step: 77500 | avg reward: 1.9 | avg ep length: 50.0
is pre training: False | ep: 1560 | step: 78000 | avg reward: 2.7 | avg ep length: 50.0
is pre training: False | ep: 1570 | step: 78500 | avg reward: 1.8 | avg ep length: 50.0
is pre training: False | ep: 1580 | step: 79000 | avg reward: 2.5 | avg ep length: 50.0
is pre training: False | ep: 1590 | step: 79500 | avg reward: 1.7 | avg ep length: 50.0
is pre training: False | ep: 1600 | step: 80000 | avg reward: 3.8 | avg ep length: 50.0
is pre training: False | ep: 1610 | step: 80500 | avg reward: 1.1 | avg ep length: 50.0
is pre training: False | ep: 1620 | step: 81000 | avg reward: 2.3 | avg ep length: 50.0
is pre training: False | ep: 1630 | step: 81500 | avg reward: 2.1 | avg ep length: 50.0
is pre training: False | ep: 1640 | step: 82000 | avg reward: 2.6 | avg ep length: 50.0
is pre training: False | ep: 1650 | step: 82500 | avg reward: 5.6 | avg ep length: 50.0
is pre training: False | ep: 1660 | step: 83000 | avg reward: 5.1 | avg ep length: 50.0
is pre training: False | ep: 1670 | step: 83500 | avg reward: 4.2 | avg ep length: 50.0
is pre training: False | ep: 1680 | step: 84000 | avg reward: 3.0 | avg ep length: 50.0
is pre training: False | ep: 1690 | step: 84500 | avg reward: 4.3 | avg ep length: 50.0
is pre training: False | ep: 1700 | step: 85000 | avg reward: 4.5 | avg ep length: 50.0
is pre training: False | ep: 1710 | step: 85500 | avg reward: 4.7 | avg ep length: 50.0
is pre training: False | ep: 1720 | step: 86000 | avg reward: 5.1 | avg ep length: 50.0
is pre training: False | ep: 1730 | step: 86500 | avg reward: 2.6 | avg ep length: 50.0
is pre training: False | ep: 1740 | step: 87000 | avg reward: 2.6 | avg ep length: 50.0
is pre training: False | ep: 1750 | step: 87500 | avg reward: 3.3 | avg ep length: 50.0
is pre training: False | ep: 1760 | step: 88000 | avg reward: 3.0 | avg ep length: 50.0
is pre training: False | ep: 1770 | step: 88500 | avg reward: 3.3 | avg ep length: 50.0
is pre training: False | ep: 1780 | step: 89000 | avg reward: 4.4 | avg ep length: 50.0
is pre training: False | ep: 1790 | step: 89500 | avg reward: 5.2 | avg ep length: 50.0
is pre training: False | ep: 1800 | step: 90000 | avg reward: 5.4 | avg ep length: 50.0
is pre training: False | ep: 1810 | step: 90500 | avg reward: 4.2 | avg ep length: 50.0
is pre training: False | ep: 1820 | step: 91000 | avg reward: 5.3 | avg ep length: 50.0
